18-016505-001-fusion-HN.fasta,newcastle
AE006468.fasta,salmonella
Bceti1Cudo.fasta,ceti1
B-REF-BS4-40.fasta,suis4
H7N3-reference.fasta,h7n3
KF767466.fasta,belize
NC_000962.fasta,h37
NC000962.fasta,h37
NC_002944.fasta,para
NC_002945v4.fasta,af
NC_003317-NC_003318.fasta,mel1
NC_006932-NC_006933.fasta,ab1
NC_009505-NC_009504.fasta,ovis
NC_010103-NC_010104.fasta,canis
NC_010169-NC_010167.fasta,suis2
NC_011083.fasta,salmonella
NC_012441-NC_012442.fasta,mel2
NC_014914.fasta,te_mce9
NC_016856-NC_016855.fasta,salmonella
NC_017251-NC_017250.fasta,suis1
NC_018108.fasta,te_atcc35865
NC_022905-NC_022906.fasta,ceti2
NZ_CP007682-NZ_CP007683.fasta,ab3
NZ_CP007719-NZ_CP007718.fasta,suis3
NZ_CP007760-NZ_CP007761.fasta,mel3
NZ_CP018508-NZ_CP018509.fasta,mel1b
NZ_CP021060.fasta,te_92-0972
NZ_CP021199.fasta,te_89-0490
NZ_CP021201.fasta,te_09-0932
NZ_CP021246.fasta,te_98-0554
GCF_900446125.fasta,neotomae
NC_013119_NC_013118.fasta,microti
